ticker,style,entry_date,entry_price,qty,exit_date,exit_price,exit_reason,stop_loss,take_profit,entry_atr,n_adds,result_eur,result_pct
EQT,MOMENTUM,2025-02-19,53.4667,3.7597,2025-02-21,50.0611,trailing_stop,50.0611,58.5751,1.7028,0,-12.8,-6.37
BSX,MOMENTUM,2025-02-05,104.9962,1.8397,2025-02-25,101.936,trailing_stop,101.93600122070312,110.737,1.9136,0,-5.63,-2.91
CARR,VALUE,2025-01-29,62.6004,3.7066,2025-02-26,67.1265,take_profit_atr,64.11402201103479,67.1265,1.5087,1,16.78,7.23
GOOGL,VALUE,2025-02-05,180.4228,2.7855,2025-02-26,172.9822,stop_loss_atr,172.9822,197.9377,5.8383,1,-20.73,-4.12
SBUX,MOMENTUM,2025-01-29,104.5078,0.9175,2025-02-27,111.5212,take_profit_atr,106.09272642771727,111.5212,2.3378,0,6.43,6.71
MDT,VALUE,2025-02-18,82.7832,2.7299,2025-02-28,88.3263,take_profit_atr,85.15385061192022,88.3263,1.8477,0,15.13,6.7
MA,MOMENTUM,2025-01-31,551.4318,0.2757,2025-03-04,554.4464,trailing_stop,554.4464188167285,579.5694,9.3792,0,0.83,0.55
PYPL,VALUE,2025-02-11,74.5358,6.941000000000001,2025-03-04,67.664,stop_loss_atr,67.664,82.6955,2.7199,1,-47.7,-9.22
A,VALUE,2025-02-18,133.263,4.0176,2025-03-04,123.6143,stop_loss_atr,123.6143,143.4972,3.4114,1,-38.76,-7.24
BSX,VALUE,2025-02-25,100.7452,1.8322,2025-03-06,101.5078,value_trailing_stop,101.50779969482421,106.8385,2.0311,0,1.4,0.76
RBLX,VALUE,2025-02-06,67.1368,2.3192,2025-03-07,57.5848,stop_loss_atr,57.5848,76.6888,3.184,0,-22.15,-14.23
WMT,VALUE,2025-02-20,95.9321,2.1614,2025-03-07,89.8847,stop_loss_atr,89.8847,101.9795,2.0158,0,-13.07,-6.3
AZO,MOMENTUM,2025-02-03,3469.0716,0.1162,2025-03-10,3663.759,take_profit_atr,3542.190431640625,3663.759,64.8958,1,22.62,5.61
MSTR,VALUE,2025-02-25,252.6681,2.3861,2025-03-10,273.1446,value_trailing_stop,273.1446024414063,324.3612,23.8977,2,48.86,8.1
